year	site	block	clone	leaf	position	metacol	metarow	population	circularity	indent_depth	area
2008	Ekebo	1	1	5	111	7	14	Simlang	0.853036379	0.508345843	452.1703927
2008	Ekebo	2	1	5.5	173	5	22	Simlang	0.873950573	0.59795628	724.9184945
2008	Ekebo	3	1	5	255	10	2	Simlang	0.930186211	0.508345843	887.4366302
2008	Ekebo	4	1	5	494	19	16	Simlang	0.857299106	0.566932771	624.4263806
2008	Ekebo	1	2	5.5	121	1	16	Simlang	0.891726856	0.563357904	610.4467326
2008	Ekebo	2	2	5.5	136	8	17	Simlang	0.859497477	0.612338154	747.2273152
2008	Ekebo	3	2	4.5	299	9	11	Simlang	0.858853616	0.587122341	827.1690943
2008	Ekebo	4	2	5.5	458	15	12	Simlang	0.880086425	0.566787276	599.6247958
2008	Ekebo	1	3	5.5	118	6	15	Simlang	0.727790916	0.747481184	836.2104853
2008	Ekebo	2	3	5.5	137	1	18	Simlang	0.78401331	0.650326261	864.3431088
2008	Ekebo	3	3	5.5	333	13	17	Simlang	0.779927883	0.66751372	640.5458351
2008	Ekebo	1	4	5.5	88	8	11	Simlang	0.91311314	0.475603746	460.8997942
2008	Ekebo	2	4	5.5	134	6	17	Simlang	0.929536011	0.514400934	484.6803227
2008	Ekebo	3	4	6	317	12	14	Simlang	0.932221167	0.492343769	521.066485
2008	Ekebo	4	4	5.5	480	21	14	Simlang	0.886073892	0.590754461	437.8819066
2008	Ekebo	1	5	5.5	93	5	12	Simlang	0.997061082	0.400882007	558.158563
2008	Ekebo	2	5	5.5	168	8	21	Simlang	0.95719329	0.449099258	518.7880167
2008	Ekebo	3	5	6	257	12	2	Simlang	0.99497367	0.336824443	672.6555361
2008	Ekebo	4	5	4.5	492	17	16	Simlang	0.95058699	0.412240585	583.6692147
2008	Ekebo	1	6	4.5	109	5	14	Simlang	0.975650611	0.386474594	483.1834036
2008	Ekebo	2	6	5.5	171	3	22	Simlang	0.931688204	0.428732961	480.6150057
2008	Ekebo	3	6	5.5	283	13	7	Simlang	0.929005476	0.481269601	496.1041784
2008	Ekebo	4	6	5.5	465	14	13	Simlang	0.932959207	0.459465504	751.762192
2008	Ekebo	1	7	5	34	2	5	Simlang	1.053377106	0.462920919	552.0385277
2008	Ekebo	2	7	5.5	189	5	24	Simlang	1.024768497	0.480987538	783.3991818
2008	Ekebo	3	7	6	339	9	19	Simlang	0.99680814	0.427529756	850.2247988
2008	Ekebo	4	7	5.5	382	19	2	Simlang	1.027114645	0.483816839	755.3989174
2008	Ekebo	1	8	5.5	95	7	12	Simlang	1.022359065	0.336824443	324.3429616
2008	Ekebo	2	8	5.5	143	7	18	Simlang	0.992205557	0.39891671	646.8927718
2008	Ekebo	3	8	5.5	367	12	24	Simlang	0.929108432	0.458190669	506.2674708
2008	Ekebo	1	9	5.5	11	3	2	Simlang	0.856441965	0.545671034	513.0650589
2008	Ekebo	2	9	5.5	226	2	29	Simlang	0.760692632	0.577969982	429.5338256
2008	Ekebo	3	9	5	313	13	13	Simlang	0.751781839	0.781393776	695.5914871
2008	Ekebo	4	9	5.5	433	14	9	Simlang	0.821912262	0.589635463	398.284459
2008	Ekebo	1	10	5.5	29	5	4	Simlang	1.026309327	0.51733722	745.3144103
2008	Ekebo	2	10	5.5	232	8	29	Simlang	1.006235359	0.577102599	1072.679573
2008	Ekebo	3	10	6	321	11	15	Simlang	1.014129046	0.400882007	782.2111008
2008	Ekebo	4	10	5.5	405	18	5	Simlang	0.997653147	0.603806866	854.9550629
2008	Ekebo	1	11	4	75	3	10	Ronneby	0.860760913	0.635122261	996.6896597
2008	Ekebo	2	11	5.5	216	8	27	Ronneby	0.907169847	0.604618379	1081.254555
2008	Ekebo	3	11	5	363	13	23	Ronneby	0.816029948	0.508345843	631.2019089
2008	Ekebo	4	11	5.5	416	21	6	Ronneby	0.841675082	0.606278196	863.5741651
2008	Ekebo	1	12	4.5	56	8	7	Ronneby	0.983410805	0.492510235	607.4434403
2008	Ekebo	2	12	5	187	3	24	Ronneby	0.986471175	0.449099258	509.2360976
